,Nom,Artiste,Genre,Annee,Paroles
10,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,hip hop,2022,[Intro: Lil Nas X]   (D-D-Daytrip took it to ten   hey)      Baby back   ayy   couple racks   ayy   Couple Grammys on him   couple plaques   ayy   That's a fact   ayy   throw it back   ayy   Throw it back   ayy         [Pre-Chorus: Lil Nas X]      And this one is for the champions   I ain't lost since I began   yeah   Funny how you said it was the end   yeah   Then I went did it again   yeah      Lil Nas X & Jack Harlow “Industry Baby” Official Lyrics & Meaning | Verified                                 [Chorus: Lil Nas X]   I told you long ago on the road   I got what they waiting for      I don't run from nothing   dog   Get your soldiers   tell 'em I ain't layin' low      You was never really rooting for me anyway   When I'm back up at the top   I wanna hear you say   He don't run from nothin'   dog   Get your soldiers   tell 'em that the break is over         [Verse 1: Lil Nas X]   Uh   need to   uh   Need to get this album done   Need a couple number onеs   Need a plaque on every song      Need mе like one with Nicki now      Tell a rap nigga I don't see ya   hah   I'm a pop nigga like Bieber   hah      I don't fuck bitches   I'm queer   hah      But these niggas bitches like Madea   yeah   yeah   yeah   ayy (Yeah)      Oh   let's do it      I ain't fall off   I just ain't release my new shit      I blew up   now everybody tryna sue me      You call me Nas   but the hood call me Doobie   yeah         [Pre-Chorus: Lil Nas X]      And this one is for the champions   I ain't lost since I began   yeah   Funny how you said it was the end   yeah   Then I went did it again   yeah
11,abcdefu,GAYLE,pop,2022,[Intro]   Fuck you and your mom and your sister and your job      And your broke-ass car and that shit you call art   Fuck you and your friends that I'll never see again   Everybody but your dog   you can all fuck off         [Verse 1]   I swear I meant to mean the best when it ended   Even tried to bite my tongue when you start shit   Now you're textin' all my friends asking questions   They never even liked you in the first place   Dated a girl that I hate for the attention   She only made it two days   what a connection   It's like you'd do anythin' for my affection   You're goin' all about it in the worst ways                                 [Pre-Chorus]   I was into you   but I'm ovеr it now   And I was tryna be nice   But nothing's getting through   so lеt me spell it out      [Chorus]   A-B-C-D-E   F you   And your mom and your sister and your job      And your broke-ass car and that shit you call art   Fuck you and your friends that I'll never see again   Everybody but your dog   you can all fuck off         [Post-Chorus]   Na-na-na-na   na-na-na-na   A-B-C-D-E   F you         [Verse 2]      You said you just needed space and so I gave it   When I had nothin' to say   you couldn't take it   Told everyone I'm a bitch   so I became it      Always had to put yourself above me      [Pre-Chorus]   I was into you   but I'm over it now   And I was tryna be nice   But nothing's getting through   so let me spell it out
12,Efecto,Bad Bunny,reggae,2022,"[Letra de ""Efecto""]      [Intro]   Yeah-yeah-yeah-yeah-yeah-yeah   Eh-eh-eh-eh      [Pre-Coro]   No sé si es casualidad que yo me sienta así   Siempre que tú estás cerquita de mí   Dime qué me hiciste   qué droga me diste   Que desde aquella noche no soy igual   Tú me mira' y empiezo a sudar   Siento que puedo volar   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Coro]   Baby   la nota ya está haciendo efecto   Mi mundo está jodío' y me siento perfecto   Porque estás tú   aquí   moviéndote así   no pare'   Baby   tú eres mi droga   esta noche no le baje'   Porque la nota ya está haciendo efecto   Mi mundo está jodío' y me siento perfecto   Porque estás tú   aquí   moviéndote así   no pare'   Baby   tú eres mi droga   esta noche no le baje'      [Post-Coro]   Esta no   esta sí   Esta no   esta sí   Esta no   esta sí   Esta no   esta sí         [Verso]   El gatito tuyo te perdió por negligencia   Y yo que no creo en la abstinencia   Esta noche en la cama va a haber turbulencia'   Qué rico tú mama'   te vo'a dar la permanencia'   Ese totito e' la eminencia   Pa' darle tengo licencia   Desde que fuimo' a Florencia   Se puso más bicha   pero no pierde la esencia   No   no   de Carola   No   no   no   no anda sola   No   no   no le diga' ""hola""   O va' a ser otro pa' la cola   Tu piquete me mola   Yo soy fan de esa popola (Mua   mua)   Más las picky   las endo   la coca y la rola (Más nada)   Eres tú quien me controla   eh (Jeje)"
13,Ghost,Justin Bieber,pop,2022,[Verse 1]   Youngblood thinks there's always tomorrow   I miss your touch some nights when I'm hollow   I know you crossed a bridge that I can't follow   Since the love that you left is all that I get   I want you to know      [Chorus]   That if I can't be close to you   I'll settle for the ghost of you   I miss you more than life (More than life)   And if you can't be next to me   your memory is ecstasy   I miss you more than life   I miss you more than life   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verse 2]   Youngblood thinks there's always tomorrow   I need more time   but time can't be borrowed   I'd leave it all behind if I could follow   Since the love that you left is all that I get   I want you to know      [Chorus]   That if I can't be close to you   I'll settle for the ghost of you   I miss you more than life (Yeah)   And if you can't be next to me   your memory is ecstasy (Oh)   I miss you more than life   I miss you more than life      [Bridge]   Woah-oh-oh-oh   Na-na-na   More than life (Oh)      [Chorus]   So if I can't get close to you   I'll settle for the ghost of you   I miss you more than life   And if you can't be next to me   your memory is ecstasy   I miss you more than life   I miss you more than life
14,Glimpse of Us,Joji,pop,2022,[Verse 1]   She'd take the world off my shoulders   If it was ever hard to move   She'd turn the rain to a rainbow   When I was living in the blue      Why then   if she's so perfect   Do I still wish that it was you?      Perfect don't mean that it's workin'   So what can I do? (Ooh)         [Pre-Chorus]   When you're out of sight   In my mind                                    [Chorus]   'Cause sometimes   I look in her eyes   And that's where I find a glimpse of us   And I try to fall for her touch   But I'm thinkin' of the way it was   Said I'm fine and said I moved on   I'm only here passing time in her arms   Hopin' I'll find a glimpse of us         [Verse 2]   Tell me he savors your glory   Does he laugh the way I did?      Is this a part of your story?   One that I had never lived   Maybe one day   you'll feel lonely   And in his eyes   you'll get a glimpse   Maybe you'll start slippin' slowly and find me again         [Pre-Chorus]   When you're out of sight   In my mind         [Chorus]   'Cause sometimes   I look in her eyes   And that's where I find a glimpse of us   And I try to fall for her touch   But I'm thinkin' of the way it was   Said I'm fine and said I moved on   I'm only here passing time in her arms   Hopin' I'll find a glimpse of us
15,Moscow Mule,Bad Bunny,reggae,2022,"[Letra de ""Moscow Mule""]      [Intro]   Si yo no te escribo   tú no me escribe'   ey   Si tú quieres   te busco   yo sé dónde tú vive'   Quizá hoy está aborrecía'   Pero por dentro tú tiene' alegría      [Coro]   Si quieres te la saco      Dos trago' y sabes que me pongo bellaco   No somo' na'   pero estamo' envuelto' hace rato   oh-oh   WhatsApp sin el retrato   no guarda mi contacto (¡Ey   ey   ey   ey!)   Pero se la saco   Dos trago' y sabes que me pongo bellaco   No somo' na'   pero estamo' envuelto' hace rato   oh-oh   WhatsApp sin el retrato   no guarda mi contacto-to   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verso 1]   Todo e' underwater (Ey)   Baby   vamo' pa'l cuarto quarter   En la Uru' comiéndono' el pare   Te vo'a dar duro pa' que no me compare'   ey   Cuida'o con ese mahón   que se va a romper (Ey)   Ese booty lo va a romper (Ey)   Yo no sé si yo te vuelvo a ver   Si mañana me vo'a perder   Tú ere' una player   me hiciste un crossover      Esta ve' metiste   me diste game over   eh-eh (Huh)   Porque no puedo olvidar   El perreo aquel que se fue viral   Dime si mañana te va' a quedar   Después de la alarma te lo voy a dar   ey   Hoy tú no va' a trabajar   jeje   no      [Coro]   Si quieres te la saco   Dos trago' y sabes que me pongo bellaco   No somo' na'   pero estamo' envuelto' hace rato   oh-oh   WhatsApp sin el retrato   no guarda mi contacto   Pero se la saco   Dos trago' y sabes que me pongo bellaco   No somo' na'   pero estamo' envuelto' hace rato   oh-oh   WhatsApp sin el retrato   no guarda mi contacto"
16,Shivers,Ed Sheeran,pop,2022,"[Verse 1]   I took an arrow to the heart      I never kissed a mouth that tastes like yours   Strawberries and then somethin' more   Ooh   yeah   I want it all   Lipstick on my guitar      Fill up the engine   we can drive real far   Go dancin' underneath the stars      Ooh   yeah   I want it all   Mmm   you got me feelin' like   Maiya The Don 'Telfy' Official Lyrics & Meaning | Verified                                 [Pre-Chorus]   I wanna be that guy   I wanna kiss your eyes   I wanna drink that smile   I wanna feel like I'm   Like my soul's on fire   I wanna stay up all day and all night   Yeah   you got me singin' like      [Chorus]   Ooh   I love it when you do it like that   And when you're close up   give mе the shivers   Oh   baby   you wanna dance 'til thе sunlight cracks   And when they say the party's over   then we'll bring it right back      And we'll say   ""Ooh   I love it when you do it like that""   And when you're close up   give me the shivers   Oh   baby   you wanna dance 'til the sunlight cracks   And when they say the party's over   then we'll bring it right back      [Verse 2]   Into the car   On the backseat in the moonlit dark   Wrap me up between your legs and arms   Ooh   I can't get enough   You know you could tear me apart   Put me back together and take my heart   I never thought that I could love this hard   Ooh   I can't get enough   Mmm   you got me feelin' like"
17,Easy On Me,Adele,pop,2022,[Verse 1]   There ain't no gold in this river   That I've been washin' my hands in forever   I know there is hope in these waters   But I can't bring myself to swim   When I am drowning in this silence   Baby   let me in         [Chorus]      Go easy on me   baby   I was still a child   Didn't get the chance to   Feel the world around me   I had no time to choose what I chose to do   So go easy on me      Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verse 2]   There ain't no room for things to change   When we are both so deeply stuck in our ways   You can't deny how hard I've tried      I changed who I was to put you both first   But now I give up         [Chorus]      Go easy on mе   baby   I was still a child   Didn't get the chance to   Feel thе world around me   Had no time to choose what I chose to do   So go easy on me         [Bridge]   I had good intentions   And the highest hopes   But I know right now   It probably doesn't even show         [Chorus]      Go easy on me   baby   I was still a child   I didn't get the chance to   Feel the world around me   I had no time to choose what I chose to do   So go easy on me
18,MIDDLE OF THE NIGHT,Elley Duhé,pop,2022,Unknown
19,Woman,Doja Cat,pop,2022,"[Intro]   Hey   woman   Hey   woman      [Chorus]   Woman   Let me be your woman   Woman   woman   woman (Ayy)   I can be your woman   Woman   woman   woman (Ayy)   Let me be your woman   Woman   woman   woman (Ayy)   I can be your woman   Woman   woman   woman (Ayy)                                 [Verse 1]   What you need?   She give tenfold   come here   papa   plant your seed   She can grow right from her womb a family   Provide lovin' overlooked and unappreciated   you see (Yeah)   You can reciprocate   I got delicious taste   you need a woman's touch in your place   Just protect her and keep her safe   Baby   worship my hips and waist   So feminine with grace   I touch your soul when you hear me say   ""Boy""   Let me be your woman      [Chorus]   Woman   Lеt me be your woman   Woman   woman   woman   I can be your woman   Woman   woman   woman   Lеt me be your woman   Woman   woman   woman (Ayy)   I can be your woman   Woman   woman   woman      [Verse 2]   I can be your lady   I'm a woman   I'm a motherfucker   but they got a problem   Put some babies in your life and take away the drama   Put the paper in a picture like a diorama      Gotta face a lot of people of the opposite   'Cause the world told me   ""We ain't got the common sense""   Gotta prove it to myself that I'm on top of shit   And you would never know a god without the goddesses   Honest as fuckin' honest get   And I could be on everything   I mean I could be the leader   head of all the states   I could smile and jiggle it 'til his pockets empty   I could be the CEO   just look at Robyn Fenty      And I'ma be there for you 'cause you on my team   girl   Don't ever think you ain't hella these niggas dream girl   They wanna pit us against each other   When we succeedin' for no reasons   They wanna see us end up like we Regina on Mean Girls      Princess or queen   tomboy or king (Yeah)   You've heard a lot   you've never seen (Nah)   Mother Earth   Mother Mary rise to the top   Divine feminine   I'm feminine (Why?)"
20,Sweater Weather,The Neighbourhood,rock,2022,[Verse 1]   And all I am is a man   I want the world in my hands   I hate the beach but I stand   In California with my toes in the sand      Use the sleeves of my sweater   Let's have an adventure      Head in the clouds but my gravity's centered      Touch my neck and I'll touch yours   You in those little high waisted shorts   oh   [Pre-Chorus]   She knows what I think about   And what I think about   One love   two mouths   One love   one house   No shirt   no blouse      Just us   you find out   Nothing that I wouldn't wanna tell you about   no      [Chorus]   'Cause it's too cold for you here   And now   so let me hold   Both your hands in the holes of my sweater      [Verse 2]   And if I may just take your breath away   I don't mind if there's not much to say   Sometimes the silence guides a mind   To move to a place so far away   The goosebumps start to raise   The minute that my left hand meets your waist      And then I watch your face   Put my finger on your tongue   'Cause you love the taste   yeah   These hearts adore   Everyone the other beats hardest for   Inside this place is warm   Outside   it starts to pour   [Pre-Chorus]   Comin' down   One love   two mouths   One love   one house   No shirt   no blouse      Just us   you find out   Nothing that I wouldn't wanna tell you about   No   no   no      [Chorus]   'Cause it's too cold for you here   And now   so let me hold   Both your hands in the holes of my sweater   'Cause it's too cold for you here   And now   so let me hold   Both your hands in the holes of my sweater   woah      [Bridge]   Woah   woah   woah   Woah   woah   woah   woah   Woah   woah   Woah   woah   woah   woah   Woah   woah      [Chorus]   'Cause it's too cold for you here   And now   so let me hold   Both your hands in the holes of my sweater   'Cause it's too cold for you here   And now   let me hold   Both your hands in the holes of my sweater
21,Desesperados,Rauw Alejandro,pop,2022,Unknown
22,Another Love,Tom Odell,pop,2022,[Verse 1]   I wanna take you somewhere so you know I care   But it's so cold and I don't know where   I brought you daffodils in a pretty string      But they won't flower like they did last spring      And I wanna kiss you   make you feel alright   I'm just so tired to share my nights   I wanna cry and I wanna love   But all my tears have been used up      [Chorus]   On another love   another love   All my tears have been used up   On another love   another love   All my tears have been used up   On another love   another love   All my tears have been used up   Up                                    [Post-Chorus]   Oh-oh-oh-oh-oh-oh-oh   Oh-oh-oh-oh-oh-oh-oh      [Verse 2]   And if somebody hurts you   I wanna fight   But my hand's been broken one too many times   So I'll use my voice   I'll be so fucking rude   Words   they always win   but I know I'll lose      And I'd sing a song that'd be just ours   But I sang 'em all to another heart   And I wanna cry   I wanna learn to love   But all my tears have been used up      [Chorus]   On another love   another love   All my tears have been used up   On another love   another love   All my tears have been used up   On another love   another love   All my tears have been used up   Up         [Post-Chorus]   Oh-oh-oh-oh-oh-oh-oh   Oh-oh-oh-oh-oh-oh-oh (Oh   need a love   now   my heart is thinking of)
23,PROVENZA,KAROL G,reggae,2022,"[Letra de ""PROVENZA""]      [Coro]   Baby   ¿qué más?   Hace rato que no sé na' de ti   'Taba con alguien   pero ya estoy free   Puesta pa' revivir viejos tiempo'   no salgo hace tiempo   Tú dime dónde está'   ah-ah-ah   Que hace rato que no sé na' de ti (Na' de ti)   'Taba con alguien   pero ya estoy free   Puesta pa' revivir viejos tiempo'   no salgo hace tiempo (Shh)   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verso 1]   Papi   nos perdemo'   nos parqueamo' y lo prendemo'   Pa' la seca algo bebemo'   y cuando nos emborrachemo'   Una de reggaetón ponemo' y nos vamo' a donde nos podamos querer   Nos podamos comer (Eh-ah)   Papi   nos perdemo'   nos parqueamo' y lo prendemo'   Pa' la seca algo bebemo'   y cuando nos emborrachemo'   Una de reggaetón ponemo' y nos vamo' a donde nos podamo' querer   Nos podamo' comer      [Coro]   Baby   ¿qué más?   Hace rato (Wuh) que no sé na' de ti (Yeh)   'Taba con alguien   pero ya estoy free ('Toy free)   Puesta pa' revivir viejos tiempo'   no salgo hace tiempo   Tú dime dónde está'   ah-ah-ah (Tú dime   tú dime)   Que hace rato que no sé na' de ti (Na' de ti)   'Taba con alguien   pero ya estoy free (Wuh)   Puesta pa' revivir viejos tiempo'   no salgo hace tiempo      [Verso 2]   ¿Qué de malo puede pasar?   ¿Que nos vaya mal? Estoy afuera   sal   Tenemos cosas pendiente' por repasar   Tú ere' un polvito difícil de reemplazar (Sí)   No sé si te convenza (Ey)   Nos damo' un rocecito por Provenza   Y si la cosa se pone tensa   en mi cama la recompensa   O viceversa   ¿por qué lo piensas? (¡No!)   Pasamo' por el barrio por hierba (Hierba)   Ponla en la hookah pa' que se disuelva   La química todavía se conserva   Y yo te lo hago rico para que vuelva'   Aunque mañana me voy   aprovéchame que aquí estoy   Puesta pa' ti   por eso te escribí"
24,Bam Bam (feat. Ed Sheeran),Camila Cabello,pop,2022,[Verse 1: Camila Cabello]   You said you hated the ocean   but you're surfin' now      I said I'd love you for life   but I just sold our house      We were kids at the start   I guess we're grown-ups now   mmm      Couldn't ever imagine even havin' doubts   But not everything works out   no      [Pre-Chorus: Camila Cabello]   Now I'm out dancin' with strangers   You could be casually datin'   Damn   it's all changin' so fast                                 [Chorus: Camila Cabello]      Así e' la vida   sí      Yeah   that's just life   baby   Yeah   love came around and it knocked me down   But I'm back on my feet   Así e' la vida   sí      Yeah   that's just life   baby   I was barely standin'   but now I'm dancin'   He's all over me (Goza)      [Post-Chorus: Camila Cabello]   Ba-da   bam-bam-bam-bam   bam-bam   Ba-da   bam-bam-bam-bam   bam-bam   Ba-da   bam-bam-bam-bam   bam-bam   Ba-da   bam-bam-bam-bam (Así e' la vida)   Ba-da   bam-bam-bam-bam   bam-bam   Ba-da   bam-bam-bam-bam   bam-bam   Ba-da   bam-bam-bam-bam   bam-bam   Ba-da   bam-bam-bam-bam      [Verse 2: Ed Sheeran]   It's been a hell of a year   thank God we made it out   Yeah   we were ridin' a wave and trying not to drown   And on the surface   I held it together   But underneath   I sorta came unwound   Where would I be? You're all that I need   My world   baby   you hold me down   You always hold me down
